Season,Player,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
2024-25,"Boris, Nikola",27,16.0,495,27.0,108,19,76,11.0,19,84.0,8,67,75.0,32.0,16.0,37,8,4.0,0.25,0.25,0.5789473684210527,18.333333333333332,3.111111111111111,2.7777777777777777
2024-25,"Borman, Raeghan",28,12.0,518,51.0,168,6,36,39.0,72,147.0,22,47,69.0,58.0,32.0,64,15,1.0,0.30357142857142855,0.16666666666666666,0.5416666666666666,18.5,5.25,2.4642857142857144
2024-25,"Boyd, Mikaela",27,9.0,396,34.0,89,1,2,22.0,35,91.0,31,44,75.0,29.0,11.0,38,5,1.0,0.38202247191011235,0.5,0.6285714285714286,14.666666666666666,3.3703703703703702,2.7777777777777777
2024-25,"Cooley, Hannah",28,2.0,431,34.0,115,7,38,4.0,11,79.0,9,44,53.0,29.0,31.0,59,16,2.0,0.2956521739130435,0.18421052631578946,0.36363636363636365,15.392857142857142,2.8214285714285716,1.8928571428571428
2024-25,"Gillespie, Mckenzy",8,0.0,47,3.0,16,3,14,2.0,2,11.0,2,3,5.0,5.0,2.0,3,0,0.0,0.1875,0.21428571428571427,1.0,5.875,1.375,0.625
2024-25,"Guerrero, Aleaya",1,0.0,2,0.0,1,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,2.0,0.0,0.0
2024-25,"Guillamat-Ribo, Laura",28,17.0,487,59.0,170,17,69,12.0,16,147.0,5,51,56.0,39.0,38.0,51,18,1.0,0.34705882352941175,0.2463768115942029,0.75,17.392857142857142,5.25,2.0
2024-25,"Hickman, Allie",4,0.0,8,3.0,7,0,1,3.0,4,9.0,2,1,3.0,4.0,0.0,2,0,0.0,0.42857142857142855,0.0,0.75,2.0,2.25,0.75
2024-25,"McCain, Kenya",23,8.0,222,13.0,34,1,3,8.0,14,35.0,21,43,64.0,13.0,15.0,24,8,1.0,0.38235294117647056,0.3333333333333333,0.5714285714285714,9.652173913043478,1.5217391304347827,2.782608695652174
2024-25,"Moore, Jayla",28,28.0,642,50.0,152,1,24,32.0,58,133.0,33,51,84.0,53.0,48.0,48,25,5.0,0.32894736842105265,0.041666666666666664,0.5517241379310345,22.928571428571427,4.75,3.0
2024-25,"Pomrenke, Carly",14,1.0,113,6.0,20,2,14,1.0,2,15.0,6,23,29.0,8.0,4.0,5,3,0.0,0.3,0.14285714285714285,0.5,8.071428571428571,1.0714285714285714,2.0714285714285716
2024-25,"Rodgers , Gillian",28,27.0,729,100.0,292,18,64,39.0,61,257.0,28,87,115.0,64.0,11.0,58,18,10.0,0.3424657534246575,0.28125,0.639344262295082,26.035714285714285,9.178571428571429,4.107142857142857
2024-25,"Rogers, Melissa",6,0.0,12,0.0,2,0,0,1.0,2,1.0,0,1,1.0,0.0,0.0,1,1,0.0,0.0,,0.5,2.0,0.16666666666666666,0.16666666666666666
2024-25,"Smith, Kennedy",14,7.0,272,44.0,110,0,0,34.0,59,122.0,51,56,107.0,44.0,2.0,24,11,3.0,0.4,,0.576271186440678,19.428571428571427,8.714285714285714,7.642857142857143
2024-25,"Tease, Amarion",23,8.0,332,43.0,128,10,39,24.0,40,120.0,9,52,61.0,37.0,17.0,31,16,5.0,0.3359375,0.2564102564102564,0.6,14.434782608695652,5.217391304347826,2.652173913043478
2024-25,"Valdez, Dominique",1,0.0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.0,1.0,0.0,0,0,0.0,,,,2.0,0.0,0.0
2024-25,"Young, Lauren",26,2.0,258,43.0,97,0,0,18.0,32,104.0,29,40,69.0,23.0,13.0,21,10,5.0,0.44329896907216493,,0.5625,9.923076923076923,4.0,2.6538461538461537
2023-24,"Baker, Joze'",28,8.0,456,84.0,233,17,66,39.0,70,224.0,39,66,105.0,64.0,22.0,69,23,0.0,0.3605150214592275,0.25757575757575757,0.5571428571428572,16.285714285714285,8.0,3.75
2023-24,"Bencsek, Skylar",13,0.0,71,1.0,7,0,3,2.0,3,4.0,1,4,5.0,0.0,2.0,4,2,0.0,0.14285714285714285,0.0,0.6666666666666666,5.461538461538462,0.3076923076923077,0.38461538461538464
2023-24,"Borman, Raeghan",26,0.0,249,18.0,67,6,25,24.0,39,66.0,7,21,28.0,29.0,10.0,38,17,3.0,0.26865671641791045,0.24,0.6153846153846154,9.576923076923077,2.5384615384615383,1.0769230769230769
2023-24,"Boyd, Mikaela",28,1.0,307,40.0,92,1,4,16.0,26,97.0,23,39,62.0,23.0,2.0,36,10,10.0,0.43478260869565216,0.25,0.6153846153846154,10.964285714285714,3.4642857142857144,2.2142857142857144
2023-24,"Clevenger, Chloe",28,10.0,583,93.0,257,24,93,27.0,32,237.0,33,109,142.0,60.0,57.0,72,48,6.0,0.36186770428015563,0.25806451612903225,0.84375,20.821428571428573,8.464285714285714,5.071428571428571
2023-24,"Gillespie, Mckenzy",7,0.0,31,5.0,8,4,6,4.0,4,18.0,2,2,4.0,2.0,3.0,6,3,0.0,0.625,0.6666666666666666,1.0,4.428571428571429,2.5714285714285716,0.5714285714285714
2023-24,"Hankins, Madelyn",28,26.0,798,85.0,240,30,105,91.0,122,291.0,35,55,90.0,31.0,37.0,59,35,3.0,0.3541666666666667,0.2857142857142857,0.7459016393442623,28.5,10.392857142857142,3.2142857142857144
2023-24,"Hawkins, Kiara",17,1.0,150,3.0,18,2,5,6.0,14,14.0,6,22,28.0,8.0,4.0,9,7,0.0,0.16666666666666666,0.4,0.42857142857142855,8.823529411764707,0.8235294117647058,1.6470588235294117
2023-24,"Hernandez, Kylie",1,0.0,5,1.0,6,0,3,0.0,0,2.0,0,0,0.0,0.0,0.0,1,2,0.0,0.16666666666666666,0.0,,5.0,2.0,0.0
2023-24,"Kirkman, Summer",5,0.0,81,6.0,17,4,13,7.0,10,23.0,4,7,11.0,4.0,7.0,12,6,0.0,0.35294117647058826,0.3076923076923077,0.7,16.2,4.6,2.2
2023-24,"McCain, Kenya",2,0.0,10,1.0,3,0,0,0.0,0,2.0,2,0,2.0,0.0,2.0,2,2,0.0,0.3333333333333333,,,5.0,1.0,1.0
2023-24,"Moore, Jayla",28,11.0,495,24.0,89,4,24,27.0,60,79.0,19,46,65.0,35.0,18.0,27,23,6.0,0.2696629213483146,0.16666666666666666,0.45,17.678571428571427,2.8214285714285716,2.3214285714285716
2023-24,"Moses , Matisyn",28,28.0,757,102.0,272,13,59,86.0,115,303.0,36,118,154.0,90.0,29.0,66,19,12.0,0.375,0.22033898305084745,0.7478260869565218,27.035714285714285,10.821428571428571,5.5
2023-24,"Nolan, Kamryn",11,0.0,45,6.0,18,0,3,0.0,0,12.0,4,6,10.0,2.0,1.0,5,2,0.0,0.3333333333333333,0.0,,4.090909090909091,1.0909090909090908,0.9090909090909091
2023-24,"Pomrenke, Carly",10,0.0,42,2.0,9,1,8,0.0,0,5.0,4,5,9.0,2.0,1.0,1,1,0.0,0.2222222222222222,0.125,,4.2,0.5,0.9
2023-24,"Rodgers , Gillian",28,27.0,742,101.0,246,10,37,45.0,69,257.0,47,94,141.0,71.0,20.0,83,22,6.0,0.4105691056910569,0.2702702702702703,0.6521739130434783,26.5,9.178571428571429,5.035714285714286
2023-24,"Rogers, Melissa",1,0.0,9,0.0,5,0,4,0.0,0,0.0,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,,9.0,0.0,1.0
2023-24,"Starr , Taylor",28,28.0,638,18.0,68,9,31,2.0,8,47.0,20,71,91.0,20.0,36.0,87,17,3.0,0.2647058823529412,0.2903225806451613,0.25,22.785714285714285,1.6785714285714286,3.25
2023-24,"Watson, Faith",6,0.0,51,3.0,9,0,0,0.0,0,6.0,3,5,8.0,10.0,3.0,1,5,0.0,0.3333333333333333,,,8.5,1.0,1.3333333333333333
2023-24,"Young, Lauren",20,0.0,108,12.0,24,0,0,12.0,17,36.0,9,32,41.0,7.0,1.0,9,4,3.0,0.5,,0.7058823529411765,5.4,1.8,2.05
2022-23,"Chiesi, Heather",1,0.0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,,,,1.0,0.0,0.0
2022-23,"Fanning, Dayjsha",26,17.0,511,52.0,139,1,3,33.0,50,138.0,63,99,162.0,51.0,17.0,34,22,0.0,0.37410071942446044,0.3333333333333333,0.66,19.653846153846153,5.3076923076923075,6.230769230769231
2022-23,"Haamid , Tytiana",12,0.0,140,28.0,76,1,7,16.0,24,73.0,14,29,43.0,16.0,1.0,15,3,3.0,0.3684210526315789,0.14285714285714285,0.6666666666666666,11.666666666666666,6.083333333333333,3.5833333333333335
2022-23,"Hankins, Madelyn",27,26.0,721,63.0,188,20,89,56.0,71,202.0,25,42,67.0,38.0,35.0,48,29,1.0,0.3351063829787234,0.2247191011235955,0.7887323943661971,26.703703703703702,7.481481481481482,2.4814814814814814
2022-23,"Hawkins, Kiara",5,1.0,50,7.0,23,4,12,1.0,2,19.0,4,4,8.0,4.0,4.0,7,2,1.0,0.30434782608695654,0.3333333333333333,0.5,10.0,3.8,1.6
2022-23,"Houston, Lauren",18,0.0,68,2.0,9,1,6,1.0,4,6.0,1,5,6.0,6.0,5.0,20,1,0.0,0.2222222222222222,0.16666666666666666,0.25,3.7777777777777777,0.3333333333333333,0.3333333333333333
2022-23,"Hunt, D'shonda",1,1.0,29,2.0,6,0,0,12.0,16,16.0,5,6,11.0,2.0,0.0,1,2,1.0,0.3333333333333333,,0.75,29.0,16.0,11.0
2022-23,"Joseph, Laheerah",17,8.0,118,6.0,26,0,0,2.0,4,14.0,8,13,21.0,10.0,5.0,11,1,2.0,0.23076923076923078,,0.5,6.9411764705882355,0.8235294117647058,1.2352941176470589
2022-23,"Kennedy, Jheda",26,15.0,549,46.0,153,13,53,24.0,44,129.0,6,52,58.0,47.0,35.0,52,25,3.0,0.3006535947712418,0.24528301886792453,0.5454545454545454,21.115384615384617,4.961538461538462,2.230769230769231
2022-23,"Kirkman, Summer",26,10.0,566,82.0,225,35,119,41.0,62,240.0,33,79,112.0,65.0,37.0,67,28,1.0,0.36444444444444446,0.29411764705882354,0.6612903225806451,21.76923076923077,9.23076923076923,4.3076923076923075
2022-23,"McElrath, Dy'mond",26,26.0,927,93.0,266,17,55,93.0,122,296.0,20,116,136.0,39.0,96.0,85,46,0.0,0.34962406015037595,0.3090909090909091,0.7622950819672131,35.65384615384615,11.384615384615385,5.230769230769231
2022-23,"Mcelroy, Emily",1,0.0,4,0.0,1,0,1,0.0,0,0.0,1,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,,4.0,0.0,1.0
2022-23,"Moore, Jayla",27,2.0,431,34.0,95,3,12,21.0,39,92.0,12,26,38.0,44.0,17.0,30,6,1.0,0.35789473684210527,0.25,0.5384615384615384,15.962962962962964,3.4074074074074074,1.4074074074074074
2022-23,"Moses, Matisyn",27,27.0,544,68.0,194,6,14,53.0,78,195.0,35,68,103.0,88.0,11.0,48,13,4.0,0.35051546391752575,0.42857142857142855,0.6794871794871795,20.14814814814815,7.222222222222222,3.814814814814815
2022-23,"Olivar, Kalli",14,1.0,70,2.0,10,0,3,5.0,8,9.0,4,4,8.0,13.0,1.0,10,5,0.0,0.2,0.0,0.625,5.0,0.6428571428571429,0.5714285714285714
2022-23,"Phillips, Arriyonn",25,1.0,302,47.0,107,3,11,16.0,21,113.0,27,45,72.0,32.0,16.0,25,22,1.0,0.4392523364485981,0.2727272727272727,0.7619047619047619,12.08,4.52,2.88
2022-23,"Rodgers, Gillian",26,0.0,322,38.0,101,0,1,34.0,46,110.0,23,19,42.0,40.0,1.0,22,11,5.0,0.37623762376237624,0.0,0.7391304347826086,12.384615384615385,4.230769230769231,1.6153846153846154
2022-23,"Shaw, Brianna",2,0.0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,,,,0.5,0.0,0.0
2022-23,"Smith, Naomi",1,0.0,2,1.0,3,0,0,0.0,0,2.0,0,0,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,,,2.0,2.0,0.0
2022-23,"Starr , Taylor",1,0.0,5,1.0,1,1,1,0.0,0,3.0,0,3,3.0,0.0,0.0,1,0,0.0,1.0,1.0,,5.0,3.0,3.0
2022-23,"Weaver, Kassidy",17,1.0,115,7.0,20,1,1,4.0,8,19.0,8,7,15.0,15.0,1.0,5,5,0.0,0.35,1.0,0.5,6.764705882352941,1.1176470588235294,0.8823529411764706
2022-23,"Woods, Devyn",1,0.0,15,0.0,5,0,4,0.0,0,0.0,0,0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,,15.0,0.0,0.0
2021-22,"Ates, Victoria",31,1.0,519,60.0,168,15,56,15.0,24,150.0,26,43,69.0,45.0,24.0,22,29,1.0,0.35714285714285715,0.26785714285714285,0.625,16.741935483870968,4.838709677419355,2.225806451612903
2021-22,"Branscum, Kyrstin",31,3.0,569,68.0,122,13,36,26.0,42,175.0,32,33,65.0,57.0,18.0,24,15,9.0,0.5573770491803278,0.3611111111111111,0.6190476190476191,18.35483870967742,5.645161290322581,2.096774193548387
2021-22,"Griffin, Tatum",30,0.0,284,24.0,71,6,27,22.0,24,76.0,5,25,30.0,28.0,27.0,26,9,2.0,0.3380281690140845,0.2222222222222222,0.9166666666666666,9.466666666666667,2.533333333333333,1.0
2021-22,"Hankins, Madelyn",31,20.0,677,80.0,224,34,118,48.0,60,242.0,21,29,50.0,60.0,35.0,33,20,3.0,0.35714285714285715,0.288135593220339,0.8,21.838709677419356,7.806451612903226,1.6129032258064515
2021-22,"Hawkins, Kiara",1,0.0,5,0.0,0,0,0,1.0,2,1.0,0,1,1.0,2.0,0.0,0,0,0.0,,,0.5,5.0,1.0,1.0
2021-22,"Joseph, Laheerah",15,0.0,60,1.0,7,0,0,1.0,2,3.0,1,7,8.0,9.0,1.0,6,1,3.0,0.14285714285714285,,0.5,4.0,0.2,0.5333333333333333
2021-22,"Joseph, Lasheicka",3,1.0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,,,,0.6666666666666666,0.0,0.0
2021-22,"Logan, Madison",1,0.0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,,,2.0,0.0,0.0
2021-22,"McElrath, Dy'mond",31,31.0,999,75.0,243,21,76,75.0,100,246.0,9,85,94.0,81.0,134.0,80,41,4.0,0.30864197530864196,0.27631578947368424,0.75,32.225806451612904,7.935483870967742,3.032258064516129
2021-22,"Moore, Jayla",18,0.0,70,0.0,11,0,2,3.0,4,3.0,8,4,12.0,7.0,2.0,4,0,1.0,0.0,0.0,0.75,3.888888888888889,0.16666666666666666,0.6666666666666666
2021-22,"Moseley, Maison",31,30.0,719,96.0,231,14,48,56.0,78,262.0,43,31,74.0,67.0,40.0,75,40,5.0,0.4155844155844156,0.2916666666666667,0.717948717948718,23.193548387096776,8.451612903225806,2.3870967741935485
2021-22,"Olivar, Kalli",4,0.0,8,0.0,2,0,0,0.0,0,0.0,0,1,1.0,0.0,0.0,0,0,0.0,0.0,,,2.0,0.0,0.25
2021-22,"Roberts, Brittany",31,29.0,1011,232.0,465,0,2,143.0,268,607.0,129,336,465.0,107.0,87.0,141,66,39.0,0.4989247311827957,0.0,0.5335820895522388,32.61290322580645,19.580645161290324,15.0
2021-22,"Shaw, Briana",1,0.0,2,0.0,1,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,2.0,0.0,0.0
