Player,Years,Seasons,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
"Carman, Kadie",1,2010-11,1.0,1.0,17.0,2.0,4.0,2.0,3.0,,,6.0,,1.0,1.0,1.0,4.0,,,,0.5,0.6666666666666666,,17.0,6.0,1.0
"Castaneda, Brianna",1,2014-15,9.0,,79.0,3.0,25.0,2.0,16.0,2.0,4.0,10.0,,1.0,1.0,14.0,4.0,15.0,1.0,,0.12,0.125,0.5,8.777777777777779,1.1111111111111112,0.1111111111111111
"Chambers, Madison",1,2010-11,28.0,20.0,795.0,65.0,196.0,1.0,20.0,41.0,76.0,172.0,53.0,95.0,148.0,49.0,44.0,84.0,54.0,9.0,0.33163265306122447,0.05,0.5394736842105263,28.392857142857142,6.142857142857143,5.285714285714286
"Chambers, Madison",2,2010-11;2011-12,57.0,49.0,1562.0,132.0,369.0,4.0,39.0,75.0,129.0,343.0,115.0,190.0,305.0,94.0,119.0,143.0,110.0,18.0,0.35772357723577236,0.10256410256410256,0.5813953488372093,27.403508771929825,6.017543859649122,5.350877192982456
"Chambers, Madison",3,2010-11;2011-12;2012-13,86.0,75.0,2358.0,213.0,578.0,10.0,72.0,110.0,194.0,546.0,175.0,308.0,483.0,149.0,166.0,197.0,164.0,21.0,0.3685121107266436,0.1388888888888889,0.5670103092783505,27.41860465116279,6.348837209302325,5.616279069767442
"Chaney, Natasha",1,2010-11,21.0,,239.0,23.0,83.0,7.0,10.0,9.0,15.0,62.0,14.0,29.0,43.0,29.0,7.0,10.0,11.0,1.0,0.27710843373493976,0.7,0.6,11.380952380952381,2.9523809523809526,2.0476190476190474
"Chaney, Natasha",2,2010-11;2012-13,25.0,,250.0,25.0,86.0,7.0,10.0,9.0,15.0,66.0,14.0,29.0,43.0,29.0,7.0,10.0,14.0,2.0,0.29069767441860467,0.7,0.6,10.0,2.64,1.72
"Chiesi, Heather",1,2022-23,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
"Clevenger, Chloe",1,2023-24,28.0,10.0,583.0,93.0,257.0,24.0,93.0,27.0,32.0,237.0,33.0,109.0,142.0,60.0,57.0,72.0,48.0,6.0,0.36186770428015563,0.25806451612903225,0.84375,20.821428571428573,8.464285714285714,5.071428571428571
"Coberly, Jacee",1,2009-10,26.0,,294.0,20.0,77.0,4.0,32.0,15.0,23.0,59.0,15.0,19.0,34.0,21.0,14.0,41.0,7.0,1.0,0.2597402597402597,0.125,0.6521739130434783,11.307692307692308,2.269230769230769,1.3076923076923077
"Coberly, Jacee",2,2009-10;2010-11,40.0,2.0,404.0,23.0,114.0,5.0,42.0,21.0,33.0,72.0,24.0,28.0,52.0,31.0,21.0,57.0,12.0,1.0,0.20175438596491227,0.11904761904761904,0.6363636363636364,10.1,1.8,1.3
"Coe, Brooklyn",1,2016-17,29.0,29.0,871.0,115.0,240.0,17.0,58.0,80.0,126.0,327.0,40.0,55.0,95.0,96.0,33.0,57.0,26.0,8.0,0.4791666666666667,0.29310344827586204,0.6349206349206349,30.03448275862069,11.275862068965518,3.2758620689655173
"Coe, Brooklyn",2,2016-17;2017-18,59.0,59.0,1802.0,224.0,513.0,46.0,173.0,155.0,237.0,649.0,78.0,109.0,187.0,180.0,74.0,117.0,55.0,14.0,0.43664717348927873,0.2658959537572254,0.6540084388185654,30.54237288135593,11.0,3.169491525423729
"Cooley, Hannah",1,2024-25,28.0,2.0,431.0,34.0,115.0,7.0,38.0,4.0,11.0,79.0,9.0,44.0,53.0,29.0,31.0,59.0,16.0,2.0,0.2956521739130435,0.18421052631578946,0.36363636363636365,15.392857142857142,2.8214285714285716,1.8928571428571428
"Cooper, Beth",1,2012-13,29.0,,452.0,48.0,117.0,9.0,26.0,13.0,17.0,118.0,10.0,51.0,61.0,26.0,44.0,55.0,15.0,3.0,0.41025641025641024,0.34615384615384615,0.7647058823529411,15.586206896551724,4.068965517241379,2.103448275862069
